id,number_of_reviews,reviews_per_month,last_review
629774,17,0.16,2015-09-20
629855,14,0.15,2018-10-28
629949,179,2.13,2020-03-12
633276,200,1.97,2021-07-25
634353,44,0.43,2015-08-24
635662,234,2.46,2021-07-05
637504,2,0.08,2018-06-04
637641,8,0.07,2014-05-14
638894,4,0.04,2019-07-01
639199,79,1.21,2021-06-28
640691,282,2.8,2021-06-26
640990,131,1.5,2019-10-19
641768,11,0.1,2012-12-03
643591,8,0.09,2016-08-21
643877,16,0.2,2017-12-29
643948,294,2.92,2020-03-06
644575,24,0.28,2019-10-08
644833,114,1.59,2019-10-31
645075,291,3.11,2021-07-19
645693,117,1.09,2021-05-29
645922,41,0.48,2015-04-09
645942,51,0.47,2021-06-17
646458,8,0.07,2019-11-01
647520,38,0.41,2020-08-31
647580,11,0.1,2013-12-15
648047,181,1.91,2020-03-01
651375,73,0.77,2021-08-01
651438,27,0.33,2021-08-01
651475,365,3.6,2021-07-11
651648,71,0.99,2021-07-26
652466,2,0.03,2018-06-30
654232,10,0.1,2015-10-19
655472,1,0.01,2012-08-25
655811,10,0.1,2013-09-19
656281,48,0.64,2019-02-28
657198,15,0.21,2018-01-01
657217,403,4.04,2020-03-08
657727,135,1.44,2021-06-11
657734,16,0.17,2018-08-28
658366,224,2.69,2021-07-03
658515,46,0.55,2019-10-20
658932,31,0.31,2019-10-01
659880,3,0.03,2015-05-15
659952,47,0.46,2017-12-10
660036,98,0.91,2020-02-21
663608,87,1.35,2021-03-17
664047,59,0.58,2016-01-28
665394,18,0.18,2018-12-01
666220,6,0.06,2013-07-11
666613,107,1.3,2021-07-10
666837,115,1.52,2021-05-08
667375,17,0.27,2018-06-24
667502,94,0.95,2020-02-05
668691,74,1.76,2019-05-19
674692,12,0.12,2019-09-15
675793,7,0.1,2021-05-03
676257,46,0.48,2019-10-07
680104,32,0.3,2018-09-14
680998,18,0.22,2020-03-21
681599,44,0.41,2017-12-23
681805,77,2.3,2021-08-01
683821,70,1.02,2019-08-12
684808,22,0.38,2020-03-16
684991,11,0.15,2021-07-01
686696,68,0.79,2020-06-28
688652,26,0.63,2020-11-22
689329,309,3.11,2019-11-17
689900,95,0.95,2017-05-18
690349,88,1.03,2021-07-27
