id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,availability_365
25587778,Queens,Woodside,40.74068,-73.89156,Private room,338
25589726,Brooklyn,Bedford-Stuyvesant,40.68604,-73.92723,Entire home/apt,0
25618970,Brooklyn,Williamsburg,40.71911,-73.95978,Entire home/apt,0
25619849,Manhattan,East Village,40.72598,-73.97582,Private room,331
25620379,Brooklyn,Bushwick,40.69226,-73.92261,Entire home/apt,43
25622377,Brooklyn,Canarsie,40.63782,-73.90037,Private room,233
25626152,Brooklyn,East Flatbush,40.64962,-73.93692,Private room,335
25635162,Queens,Astoria,40.75893,-73.91535,Entire home/apt,0
25638322,Queens,Elmhurst,40.73705,-73.87849,Private room,0
25669472,Queens,Queens Village,40.72183,-73.73607,Entire home/apt,92
25672109,Manhattan,Stuyvesant Town,40.7303,-73.97875,Private room,181
25672309,Manhattan,Gramercy,40.73518,-73.98429,Entire home/apt,0
25673898,Brooklyn,Bedford-Stuyvesant,40.68819,-73.94712,Private room,0
25674371,Queens,Queens Village,40.71136,-73.74145,Entire home/apt,63
25677480,Manhattan,Upper East Side,40.76743,-73.95328,Shared room,0
25677571,Queens,Long Island City,40.74581,-73.95336,Entire home/apt,124
25677687,Brooklyn,Williamsburg,40.70852,-73.95416,Private room,0
25678522,Manhattan,West Village,40.73254,-74.00371,Entire home/apt,274
25689024,Brooklyn,East Flatbush,40.6418,-73.93255,Entire home/apt,30
25710052,Brooklyn,Bushwick,40.68758,-73.9136,Private room,0
25719757,Manhattan,Gramercy,40.73708,-73.98481,Entire home/apt,0
25727611,Brooklyn,Bedford-Stuyvesant,40.69492,-73.93883,Private room,339
25734018,Brooklyn,Park Slope,40.67707,-73.97505,Entire home/apt,171
25736749,Manhattan,Upper West Side,40.79986,-73.96841,Entire home/apt,42
25745070,Manhattan,West Village,40.7321,-74.00884,Private room,0
25745372,Manhattan,East Village,40.72565,-73.97934,Entire home/apt,0
25745458,Brooklyn,Greenpoint,40.73509,-73.95443,Entire home/apt,0
25765042,Brooklyn,Bushwick,40.69911,-73.91277,Entire home/apt,0
25766100,Manhattan,East Village,40.72927,-73.98335,Private room,0
25771285,Manhattan,Harlem,40.8284,-73.93931,Private room,0
25774787,Manhattan,Upper East Side,40.77573,-73.95349,Entire home/apt,0
25775969,Manhattan,Harlem,40.80207,-73.95202,Private room,35
25776914,Brooklyn,Canarsie,40.64674,-73.89299,Private room,44
25779464,Manhattan,Harlem,40.81283,-73.94194,Private room,337
25779937,Manhattan,Harlem,40.81306,-73.94232,Private room,0
25781295,Queens,Sunnyside,40.73517,-73.92008,Private room,362
25781535,Queens,Sunnyside,40.73492,-73.91991,Private room,361
25782709,Brooklyn,Bedford-Stuyvesant,40.67899,-73.93664,Private room,212
25783309,Brooklyn,Bedford-Stuyvesant,40.68149,-73.93724,Private room,0
25783739,Manhattan,East Village,40.72962,-73.9828,Entire home/apt,0
25786994,Manhattan,Harlem,40.81397,-73.94103,Entire home/apt,0
25798517,Brooklyn,Bushwick,40.70145,-73.92539,Private room,0
25798995,Brooklyn,Bushwick,40.69165,-73.90554,Private room,0
25799803,Brooklyn,Williamsburg,40.71223,-73.96665,Entire home/apt,0
25801507,Brooklyn,Sunset Park,40.66062,-73.99262,Entire home/apt,0
25802121,Manhattan,Midtown,40.76612,-73.98273,Entire home/apt,203
25804768,Brooklyn,Crown Heights,40.67749,-73.95139,Entire home/apt,0
25805422,Brooklyn,Borough Park,40.64533,-73.99868,Private room,0
25805430,Brooklyn,East Flatbush,40.63764,-73.93239,Entire home/apt,336
25806562,Brooklyn,East Flatbush,40.65086,-73.95221,Private room,0
25807047,Manhattan,East Harlem,40.79061,-73.94344,Private room,0
25807815,Manhattan,Harlem,40.82168,-73.9458,Private room,184
25811825,Manhattan,Theater District,40.75634,-73.99038,Entire home/apt,38
25812700,Brooklyn,Bedford-Stuyvesant,40.68321,-73.91979,Entire home/apt,308
25812971,Manhattan,Chinatown,40.71535,-73.9921,Entire home/apt,134
25813279,Manhattan,Upper West Side,40.78071,-73.97944,Shared room,344
25813322,Brooklyn,Prospect-Lefferts Gardens,40.66135,-73.94381,Private room,17
25813796,Brooklyn,Brownsville,40.66513,-73.91682,Private room,327
25814039,Manhattan,Upper West Side,40.79289,-73.97665,Entire home/apt,22
25815036,Brooklyn,Bushwick,40.68934,-73.90619,Private room,1
25817508,Manhattan,Washington Heights,40.84637,-73.93862,Private room,0
25820809,Manhattan,Hell's Kitchen,40.76473,-73.98896,Shared room,365
25823670,Manhattan,Upper East Side,40.775944,-73.955589,Entire home/apt,274
25826245,Manhattan,Morningside Heights,40.80399,-73.96488,Entire home/apt,0
25829582,Queens,Rego Park,40.72728,-73.85563,Private room,91
25830098,Brooklyn,Williamsburg,40.71521,-73.9482,Private room,63
25830323,Queens,Sunnyside,40.74291,-73.9158,Private room,54
25834338,Brooklyn,Williamsburg,40.71768,-73.95878,Entire home/apt,215
25834425,Manhattan,Gramercy,40.73818,-73.98375,Entire home/apt,0
25837024,Manhattan,Harlem,40.79918,-73.95279,Private room,207
25838887,Manhattan,Two Bridges,40.71269,-73.99513,Private room,106
25838923,Manhattan,Chinatown,40.71488,-73.99535,Private room,103
25839759,Brooklyn,Sunset Park,40.66221,-73.99437,Entire home/apt,0
25841637,Manhattan,Two Bridges,40.7127,-73.99711,Private room,131
25841768,Brooklyn,Greenpoint,40.7262,-73.94932,Entire home/apt,0
25842433,Queens,Elmhurst,40.74362,-73.88171,Private room,335
25844166,Manhattan,SoHo,40.72558,-74.00186,Private room,0
25860068,Manhattan,Upper East Side,40.77497,-73.94784,Private room,361
25868383,Manhattan,East Harlem,40.79277,-73.94161,Private room,272
25870840,Manhattan,Upper East Side,40.7829,-73.95364,Entire home/apt,0
25871075,Manhattan,Chelsea,40.73581,-73.99304,Entire home/apt,0
25871304,Manhattan,Harlem,40.81091,-73.9416,Private room,325
25885192,Manhattan,Upper East Side,40.78061,-73.95318,Entire home/apt,0
25885278,Bronx,Throgs Neck,40.8215,-73.83645,Entire home/apt,89
25887161,Manhattan,East Harlem,40.79407,-73.94428,Entire home/apt,179
25887818,Manhattan,East Harlem,40.79456,-73.94354,Entire home/apt,0
25887913,Brooklyn,Bushwick,40.68926,-73.90803,Private room,39
25892653,Brooklyn,Bushwick,40.68869,-73.9091,Entire home/apt,0
25894828,Brooklyn,Bedford-Stuyvesant,40.68532,-73.95187,Entire home/apt,0
25894924,Queens,Jamaica,40.68172,-73.7794,Entire home/apt,15
25895132,Manhattan,Morningside Heights,40.81453,-73.96016,Private room,0
