id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7330488,Charming Classic UWS Bedroom & Balcony,18008678,Clayton,Manhattan,Upper West Side,40.80235,-73.97082,Private room,95,30,33,2018-04-20,0.53,2,0
7331070,Your own house in NYC,22373907,James,Queens,Bayside,40.76603,-73.77133,Entire home/apt,262,1,132,2021-08-03,2.84,1,341
7331958,Sunny luxurious loft Studio,2282450,Philip,Manhattan,West Village,40.73689,-74.00531,Entire home/apt,145,30,158,2021-08-01,2.48,2,0
7332196,Bright and Hip in Morningside,5628243,Drew,Manhattan,Harlem,40.81074,-73.95218,Private room,95,30,10,2017-01-17,0.17,1,0
7339802,"HUGR 1BR+ in Sugar Hill, Harlem",38452274,Aly,Manhattan,Harlem,40.82385,-73.94195,Entire home/apt,100,30,14,2017-12-30,0.3,1,0
7340318,Private Greenpoint Studio Floor 1,6772512,Curtis,Brooklyn,Greenpoint,40.72138,-73.94709,Entire home/apt,100,30,7,2016-10-28,0.1,1,0
7344720,Clean and comfortable 3 person private room,24260658,Kristy,Manhattan,East Harlem,40.79678,-73.9344,Private room,81,30,111,2019-10-11,1.53,4,0
7345443,Spacious 3 bedroom on Prospect Park,38480982,Arnold,Brooklyn,South Slope,40.66216,-73.97952,Entire home/apt,166,30,6,2016-07-06,0.1,1,0
7347733,Studio in central historical Harlem,21056821,Martina,Manhattan,Harlem,40.80847,-73.94117,Entire home/apt,100,30,1,2016-07-13,0.02,1,0
7348509,Modern 1BR in Heart of Williamsburg,38497438,Don,Brooklyn,Williamsburg,40.71969,-73.9562,Entire home/apt,215,30,1,2015-08-02,0.01,1,0
7348925,1 BR Apartment,38500630,Brian,Manhattan,Upper East Side,40.76735,-73.95548,Entire home/apt,264,30,2,2015-10-05,0.03,1,365
